bear_id,date,num_points,centroid_x,centroid_y,min_x,max_x,min_y,max_y,sex,age,season,total_distance,avg_speed
Bear10,2013-04-19,22,429359.7699318182,686533.3301727272,425357.7161,430129.8728,683981.7535,687729.0714,M,A,Den exit and reproduction,9057.400873471212,431.3048034986291
Bear10,2013-04-20,23,425113.46236956515,683336.5116043477,424937.8472,425416.6476,682973.0662,683980.0744,M,A,Den exit and reproduction,2616.284880461789,118.9220400209904
Bear10,2013-04-21,23,425521.8422521739,683672.5675782609,425367.2722,425571.4333,683544.2825,683960.328,M,A,Den exit and reproduction,1253.7394672092162,56.988157600418916
Bear10,2013-04-22,21,424311.25406190485,683282.6961571428,422409.1216,425527.7522,682812.3588,684074.1511,M,A,Den exit and reproduction,7111.869355552597,355.5934677776298
Bear10,2013-04-23,22,425176.7139181817,683383.9389590911,424910.8069,425634.7593,683013.1311,683988.5054,M,A,Den exit and reproduction,3100.6466777380315,147.6498417970491
Bear10,2013-04-24,21,423184.6222666667,685916.9803238095,422324.838,425377.9815,683970.6128,688679.483,M,A,Den exit and reproduction,11234.76993550768,561.738496775384
Bear10,2013-04-25,23,426091.2524913043,683853.5926304348,425351.1943,426518.4236,683585.7347,684016.2178,M,A,Den exit and reproduction,3205.0440013648927,145.68381824385875
Bear10,2013-04-26,23,425734.94238695654,684194.6562652175,425355.6145,425905.6594,683930.3925,684332.8606,M,A,Den exit and reproduction,1921.3036825356073,87.33198556980034
Bear10,2013-04-27,20,425097.64155,683427.6527600001,424852.9672,425720.9835,683128.2277,684004.1849,M,A,Den exit and reproduction,2922.5016552934767,153.8158765943935
Bear10,2013-04-28,22,424713.93158181815,682782.0970636363,424175.7427,425692.1157,682162.5716,683963.0515,M,A,Den exit and reproduction,4760.098757849659,226.67136942141232
Bear10,2013-04-29,21,425526.0228428571,683722.0132238094,425367.2551,425655.2891,683514.8958,683993.9797,M,A,Den exit and reproduction,1734.7386748775916,86.73693374387958
Bear10,2013-04-30,23,424940.9073608696,684177.2947304347,423435.4011,425894.4066,682901.5893,684884.5083,M,A,Den exit and reproduction,5379.7217807527495,244.53280821603406
Bear10,2013-05-01,20,420664.31856000004,681597.3920250001,418779.7802,423123.3018,680685.5834,684252.165,M,A,Den exit and reproduction,7448.651293660415,392.034278613706
